Symbol	Description
CSG	Cosigo Resources Ltd
CSL	Comstock Metals Ltd
CSN	Crimson Bioenergy Ltd
CSO	Corsa Coal Corp
CSQ	Canamex Resources Corp
CST	Co2 Solutions Inc.
CSV	Caracara Silver Inc
CSX	Clean Seed Capital Group Ltd
CTG	Global Minerals Ltd.
CTH	Cynapsus Therapeutics Inc
CTM	Canterra Minerals Corporation
CTN	Centurion Minerals Ltd.
CTO	Circa Enterprises Inc
CTT	Citation Resources Inc
CTZ	Cencotech Inc.
CUA	Cuoro Resources Corp
CUI	Currie Rose Resources Inc
CUO	Copper One Inc.
CUT	Cortez Gold Corp.
CUU	Copper Fox Minerals Inc.
CVA	Cava Resources Inc
CVB	Compass Gold Corporation
CVN	Cavan Ventures Inc.
CVR	Cdn Oil Recovery & Remediation Ent Ltd.
CVX	Cematrix Corporation
CWC	Central Alberta Well Services Corp
CWM	Crown Gold Corporation
CWP	Comwest Enterprise Corp. Cl.B
CWP.A	Comwest Enterprise Corp. Cl.A
CWQ	Curlew Lake Resources Inc
CWS.H	Cons Westview Res Corp
CWV	Crown Point Ventures Ltd.
CWY	Conway Resources Inc
CXB	Calibre Mining Corp.
CXD	Cadan Resources Corporation
CXG.A	Clemex Technologies Inc
CXM	Carmax Mining Corp
CXO	Colorado Resources Ltd
CXT	Creso Exploration Inc.
CY	Clear Mountain Resources Corp
CYD	Cayden Resources Inc
CYF	Canyon Creek Food Co Ltd
CYG	Cygam Energy Inc
CYP	Cypress Development Corp.
CYU	Columbia Yukon Explorations Inc
CYX	Calyx Bio-Venture Inc.
CYY	Coventry Resources Inc
CZ	Cassius Ventures Ltd.
CZA	Cobriza Metals Corp
CZH	Crazy Horse Resources Inc.
CZO	Ceapro Inc
CZX	Canada Zinc Metals Corp.
CZY	Caza Gold Corp.
DAL	Dalmac Energy Inc.
DAN	D'Arianne Resources Inc.
DAP.U	Xpel Technologies Corp
DAR	Darwin Resources Corp
DAU	Desert Gold Ventures Inc.
DBL	Darnley Bay Resources Limited
DBV	Doubleview Capital Corp
DCF	Difference Capital Funding Inc
DCF.DB	Difference Cap Financial 8.0 Pc
DCK	Donnycreek Energy Inc
DCY	Discovery-Corp. Enterprises Inc.
DDM.H	Dgs Minerals Inc
DDX	Dundarave Resources Inc
DEC	Decade Resources Ltd.
DEF	Defiance Capital Corp.
DEI	Donnybrook Energy Inc
DEQ	Deq Systems Corp
DER	Desert Eagle Resources Ltd
DES	Desmarais Energy Corp
DEV.P	Ct Developers Ltd
DFI	Diamond Field In J
DGM	Dmg Minerals Corp Com Npv
DGO	Durango Resources Inc.
DHM	Deer Horn Metals Inc
DHR	Discovery Harbour Resources Corp
DIG.H	Digger Resources Inc
DIL.H	Digifonica International Inc
DIT	Ditem Explorations Inc.
DIV	Diversinet Corp
DJI	Dajin Resources Corp.
DLL	Deloro Resources Ltd.
DLT	ADR Capital Corp.
DLT.WT	Delta Gold Corporation Wts
DMA	Diamedica Inc.
DMI	Diamcor Mining Inc.
DNI	Dni Metals Inc
DNV	Dunav Resources Ltd
DNX	Dynex Power Inc.
DOG	Blackdog Resources Ltd.
DON	Donner Metals Ltd.
DOS	Dios Exploration Inc
DOT	Dot Resources Ltd.
DOX	Dorex Minerals Inc.
DPH	Duncan Park Holdings Corp
DRI	Dorato Resources Inc.
DRV	Duran Ventures Inc.
DSM	Dacha Strategic Metals Inc
DSN.H	Disani Capital Corp
DSR	Desert Star Resources Ltd
DSS	Digital Shelf Space Corp.
DSY	Destiny Media Technologies Inc.
DUN	Duncastle Gold Corp.
DUR.H	Delta Uranium Inc
DV	Dolly Varden Silver Corp
DVC.H	Devin Energy Corporation
DVN	Discovery Ventures Inc
DVR	Deveron Resources Ltd
DVT	Divestco Inc.
